Gene,Gene description,Variation between individuals,Variation within individuals
AKAP12,A-kinase anchoring protein 12,15.8,17.9
CRHBP,Corticotropin releasing hormone binding protein,15.78,11.37
NFAT5,Nuclear factor of activated T cells 5,15.78,21.64
MTHFD2,"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",15.77,30.35
GP1BA,Glycoprotein Ib platelet subunit alpha,15.76,29.25
CD84,CD84 molecule,15.74,4.95
MAP3K5,Mitogen-activated protein kinase kinase kinase 5,15.69,4.26
AGRP,Agouti related neuropeptide,15.66,10.18
SCARF2,Scavenger receptor class F member 2,15.63,19.64
SLC39A5,Solute carrier family 39 member 5,15.63,28.35
NCK2,NCK adaptor protein 2,15.6,5.48
B4GALT1,"Beta-1,4-galactosyltransferase 1",15.58,11.59
HSPB1,Heat shock protein family B (small) member 1,15.57,2.73
MYL3,Myosin light chain 3,15.56,19.51
SIRPG,Signal regulatory protein gamma,15.54,30.77
ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase 7,15.54,46.41
DLK1,Delta like non-canonical Notch ligand 1,15.54,57.32
MAMDC4,MAM domain containing 4,15.49,16.37
SPRY2,Sprouty RTK signaling antagonist 2,15.48,0.27
PPIB,Peptidylprolyl isomerase B,15.47,0.49
MEF2C,Myocyte enhancer factor 2C,15.46,6.54
NFU1,NFU1 iron-sulfur cluster scaffold,15.45,9.88
SERPINB1,Serpin family B member 1,15.44,3.39
CTIF,Cap binding complex dependent translation initiation factor,15.42,3.71
ICAM4,Intercellular adhesion molecule 4 (Landsteiner-Wiener blood group),15.42,54.44
IRGQ,Immunity related GTPase Q,15.41,0
SPA17,Sperm autoantigenic protein 17,15.4,7.56
SNAP23,Synaptosome associated protein 23,15.4,5.06
EDAR,Ectodysplasin A receptor,15.39,21.56
CHMP1A,Charged multivesicular body protein 1A,15.38,2.45
GLB1,Galactosidase beta 1,15.34,19.52
CCDC85A,Coiled-coil domain containing 85A,15.33,20.07
CRTAC1,Cartilage acidic protein 1,15.3,47.76
TRIM40,Tripartite motif containing 40,15.24,9.72
RABEP1,"Rabaptin, RAB GTPase binding effector protein 1",15.23,0
CAPN3,Calpain 3,15.22,21.58
SBSN,Suprabasin,15.2,38.05
DCP1B,Decapping mRNA 1B,15.19,2.06
TREH,Trehalase,15.16,76.49
HMOX2,Heme oxygenase 2,15.13,8.66
CD93,CD93 molecule,15.1,26.4
F10,Coagulation factor X,15.1,18.9
SWAP70,Switching B cell complex subunit SWAP70,15.09,15.73
FAM20A,FAM20A golgi associated secretory pathway pseudokinase,15.07,16.32
CAMLG,Calcium modulating ligand,15.07,3.71
MSRA,Methionine sulfoxide reductase A,15.04,2.01
CDC37,"Cell division cycle 37, HSP90 cochaperone",15.03,1.77
DNMBP,Dynamin binding protein,14.99,4.34
ESYT2,Extended synaptotagmin 2,14.98,1.36
GET3,"Guided entry of tail-anchored proteins factor 3, ATPase",14.93,14.5
CASP3,Caspase 3,14.93,4.42
FRMD8,FERM domain containing 8,14.92,2.58
TADA3,Transcriptional adaptor 3,14.91,4.57
EVI5,Ecotropic viral integration site 5,14.91,1.88
GNAS,GNAS complex locus,14.89,19.34
MRRF,Mitochondrial ribosome recycling factor,14.86,7.31
KCTD18,Potassium channel tetramerization domain containing 18,14.86,16.32
KLRF1,Killer cell lectin like receptor F1,14.85,12.76
MAP4K1,Mitogen-activated protein kinase kinase kinase kinase 1,14.84,0
TPSAB1,Tryptase alpha/beta 1,14.83,67.27
UNG,Uracil DNA glycosylase,14.83,13.4
MFAP4,Microfibril associated protein 4,14.82,27.38
TNFSF10,TNF superfamily member 10,14.79,22.66
HRC,Histidine rich calcium binding protein,14.79,23.34
CCS,Copper chaperone for superoxide dismutase,14.79,15.89
RILPL2,Rab interacting lysosomal protein like 2,14.76,4.38
IGFBPL1,Insulin like growth factor binding protein like 1,14.72,32.49
GYS1,Glycogen synthase 1,14.68,8.33
RELCH,"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing",14.68,0.79
CMC1,C-X9-C motif containing 1,14.67,3.24
SCGB1A1,Secretoglobin family 1A member 1,14.65,55.89
ERP29,Endoplasmic reticulum protein 29,14.65,1.55
APP,Amyloid beta precursor protein,14.63,17.29
DENR,Density regulated re-initiation and release factor,14.61,3.16
PTPN11,Protein tyrosine phosphatase non-receptor type 11,14.59,2.7
NDRG1,N-myc downstream regulated 1,14.55,8.9
DCTN4,Dynactin subunit 4,14.51,5.46
TXNDC5,Thioredoxin domain containing 5,14.5,0
ADD2,Adducin 2,14.45,0
ACAA1,Acetyl-CoA acyltransferase 1,14.45,9.92
ARHGEF2,Rho/Rac guanine nucleotide exchange factor 2,14.43,4.6
BNIP2,BCL2 interacting protein 2,14.43,3.85
CSPG5,Chondroitin sulfate proteoglycan 5,14.42,25.77
NME3,NME/NM23 nucleoside diphosphate kinase 3,14.41,66.41
PSIP1,PC4 and SFRS1 interacting protein 1,14.39,10.71
EGFLAM,"EGF like, fibronectin type III and laminin G domains",14.38,28.78
NCF1,Neutrophil cytosolic factor 1,14.35,0
MICALL2,MICAL like 2,14.34,0
CCDC28B,Coiled-coil domain containing 28B,14.34,9.09
FABP6,Fatty acid binding protein 6,14.32,15.55
CHST2,Carbohydrate sulfotransferase 2,14.29,19.85
MMP1,Matrix metallopeptidase 1,14.24,40.17
MAN1A2,Mannosidase alpha class 1A member 2,14.24,11.24
SERPINB6,Serpin family B member 6,14.24,5.84
ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2,14.23,42.68
NUDC,"Nuclear distribution C, dynein complex regulator",14.19,3.52
HEPACAM2,HEPACAM family member 2,14.19,39.74
KLRB1,Killer cell lectin like receptor B1,14.16,33.64
DSCAM,DS cell adhesion molecule,14.16,35.66
SSNA1,SS nuclear autoantigen 1,14.12,6.17
GRPEL1,"GrpE like 1, mitochondrial",14.11,8.56
SPOCK1,"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1",14.11,29.39
CNDP1,Carnosine dipeptidase 1,14.1,34.61
CCBE1,Collagen and calcium binding EGF domains 1,14.09,39.65
REN,Renin,14.05,35.78
VGF,VGF nerve growth factor inducible,14.02,10.35
PNPT1,Polyribonucleotide nucleotidyltransferase 1,14.01,13.13
NFATC3,Nuclear factor of activated T cells 3,13.97,15.64
HS6ST1,Heparan sulfate 6-O-sulfotransferase 1,13.95,22.76
ATG4A,Autophagy related 4A cysteine peptidase,13.93,0
RAB11FIP3,RAB11 family interacting protein 3,13.9,3.36
SNX9,Sorting nexin 9,13.87,3.11
CD40LG,CD40 ligand,13.83,8.58
VTA1,Vesicle trafficking 1,13.83,4.44
CLEC1B,C-type lectin domain family 1 member B,13.82,3.27
AKR1B1,Aldo-keto reductase family 1 member B,13.81,5
MCAM,Melanoma cell adhesion molecule,13.8,34.38
LILRA5,Leukocyte immunoglobulin like receptor A5,13.79,35.56
VCPKMT,Valosin containing protein lysine methyltransferase,13.78,22.91
ASS1,Argininosuccinate synthase 1,13.78,28.44
EIF4E2,Eukaryotic translation initiation factor 4E family member 2,13.77,11.39
PPM1F,"Protein phosphatase, Mg2+/Mn2+ dependent 1F",13.75,4.88
CELA3A,Chymotrypsin like elastase 3A,13.74,46.43
CPA2,Carboxypeptidase A2,13.71,24.46
HAVCR1,Hepatitis A virus cellular receptor 1,13.71,51.31
ITGBL1,Integrin subunit beta like 1,13.68,32.65
CDCP1,CUB domain containing protein 1,13.67,35.61
BTN3A2,Butyrophilin subfamily 3 member A2,13.66,44.51
C2orf69,Chromosome 2 open reading frame 69,13.62,11.14
SOD3,Superoxide dismutase 3,13.61,49.16
SUFU,SUFU negative regulator of hedgehog signaling,13.6,4.69
SNX33,Sorting nexin 33,13.6,11.37
SDC1,Syndecan 1,13.58,37.5
TREM2,Triggering receptor expressed on myeloid cells 2,13.54,38.68
ERP27,Endoplasmic reticulum protein 27,13.53,4.11
CDR2L,Cerebellar degeneration related protein 2 like,13.52,5.63
MTIF3,Mitochondrial translational initiation factor 3,13.51,7
LGMN,Legumain,13.51,31.87
SOST,Sclerostin,13.49,13.2
TFEB,Transcription factor EB,13.49,7.51
SNX2,Sorting nexin 2,13.47,8.12
HDAC5,Histone deacetylase 5,13.41,0
CALCA,Calcitonin related polypeptide alpha,13.38,38.8
TIGAR,TP53 induced glycolysis regulatory phosphatase,13.37,26.92
ATOX1,Antioxidant 1 copper chaperone,13.37,4.95
MIDN,Midnolin,13.36,0.8
FKBP5,FKBP prolyl isomerase 5,13.35,4.28
CD14,CD14 molecule,13.3,35.47
APBB1IP,Amyloid beta precursor protein binding family B member 1 interacting protein,13.29,15.61
S100A4,S100 calcium binding protein A4,13.29,1.23
GSTA3,Glutathione S-transferase alpha 3,13.26,20.15
ANXA1,Annexin A1,13.25,4.77
TNFRSF19,TNF receptor superfamily member 19,13.22,34.39
NPC2,NPC intracellular cholesterol transporter 2,13.22,32.35
MTRES1,Mitochondrial transcription rescue factor 1,13.22,3.01
TBL1X,Transducin beta like 1 X-linked,13.22,10.43
HEG1,Heart development protein with EGF like domains 1,13.21,42.4
MYCBP2,MYC binding protein 2,13.21,17.08
ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,13.19,72.33
C19orf12,Chromosome 19 open reading frame 12,13.15,14.76
HSPB6,Heat shock protein family B (small) member 6,13.12,19.66
CLEC4C,C-type lectin domain family 4 member C,13.12,57.94
PEBP4,Phosphatidylethanolamine binding protein 4,13.11,72.96
MCF2L,MCF.2 cell line derived transforming sequence like,13.08,0.24
NCR1,Natural cytotoxicity triggering receptor 1,13.08,40.13
TRIM58,Tripartite motif containing 58,13.08,8.22
YJU2,YJU2 splicing factor homolog,13.06,0
HDGFL2,HDGF like 2,13.02,5.28
SMURF1,SMAD specific E3 ubiquitin protein ligase 1,13.01,28.15
FBLN7,Fibulin 7,13.01,41.34
THBS4,Thrombospondin 4,13,19.32
ADGRG3,Adhesion G protein-coupled receptor G3,12.99,31.34
CRELD1,Cysteine rich with EGF like domains 1,12.97,43.92
IGBP1,Immunoglobulin binding protein 1,12.91,4.37
COMMD7,COMM domain containing 7,12.87,2.37
TRIP10,Thyroid hormone receptor interactor 10,12.79,2.77
VSNL1,Visinin like 1,12.79,30.16
ARHGAP25,Rho GTPase activating protein 25,12.79,5.51
NFE2,"Nuclear factor, erythroid 2",12.76,2.19
ERBB3,Erb-b2 receptor tyrosine kinase 3,12.75,28.22
IRF3,Interferon regulatory factor 3,12.75,2.23
IL17D,Interleukin 17D,12.73,24.53
ABHD14B,Abhydrolase domain containing 14B,12.72,2.33
SMOC1,SPARC related modular calcium binding 1,12.7,20.98
FOLR2,Folate receptor beta,12.68,37.3
PNMA1,PNMA family member 1,12.67,6.71
CCL18,C-C motif chemokine ligand 18,12.66,51.34
DEFB4A,Defensin beta 4A,12.65,34.75
DEFB4B,Defensin beta 4B,12.65,34.75
MLN,Motilin,12.62,51.04
CGREF1,Cell growth regulator with EF-hand domain 1,12.61,38.84
NTPCR,"Nucleoside-triphosphatase, cancer-related",12.61,16.33
CD40,CD40 molecule,12.59,11.68
CACYBP,Calcyclin binding protein,12.59,2.77
TNFAIP8,TNF alpha induced protein 8,12.59,13.88
USO1,USO1 vesicle transport factor,12.58,1.56
C6orf58,Chromosome 6 open reading frame 58,12.58,45.19
MYH7,Myosin heavy chain 7,12.57,10.98
PTH,Parathyroid hormone,12.55,7.26
HMBS,Hydroxymethylbilane synthase,12.54,0
RRAS,RAS related,12.52,4.68
FABP5,Fatty acid binding protein 5,12.52,5.95
CIAPIN1,Cytokine induced apoptosis inhibitor 1,12.51,0.45
CXCL6,C-X-C motif chemokine ligand 6,12.5,25.85
SV2A,Synaptic vesicle glycoprotein 2A,12.5,3.76
DNAAF11,Dynein axonemal assembly factor 11,12.47,5.55
PDE10A,Phosphodiesterase 10A,12.45,12.54
GNPDA2,Glucosamine-6-phosphate deaminase 2,12.45,25.66
FAM3B,FAM3 metabolism regulating signaling molecule B,12.42,42.6
CHCHD3,Coiled-coil-helix-coiled-coil-helix domain containing 3,12.42,1.37
CAMSAP1,Calmodulin regulated spectrin associated protein 1,12.41,0.83
SKAP1,Src kinase associated phosphoprotein 1,12.38,6.16
FNDC1,Fibronectin type III domain containing 1,12.33,30.28
DNM3,Dynamin 3,12.32,29.73
VIT,Vitrin,12.3,37.81
MERTK,"MER proto-oncogene, tyrosine kinase",12.3,10.08
ECSIT,ECSIT signaling integrator,12.29,21.48
CRACR2A,Calcium release activated channel regulator 2A,12.28,0
SUSD4,Sushi domain containing 4,12.27,37.66
ANXA10,Annexin A10,12.27,15.14
SLC9A3R1,SLC9A3 regulator 1,12.24,7.28
POMC,Proopiomelanocortin,12.22,7.1
FES,"FES proto-oncogene, tyrosine kinase",12.2,9.7
CEP43,Centrosomal protein 43,12.17,3.34
TNFSF15,TNF superfamily member 15,12.16,8.81
FYB2,FYN binding protein 2,12.16,15.76
TFF2,Trefoil factor 2,12.14,24.18
MEIS2,Meis homeobox 2,12.06,22.89
GSN,Gelsolin,12.05,23.06
CCL19,C-C motif chemokine ligand 19,12.03,26.14
STX17,Syntaxin 17,12,0
GIMAP8,"GTPase, IMAP family member 8",11.98,10.19
UBR2,Ubiquitin protein ligase E3 component n-recognin 2,11.98,1.72
ADAM23,ADAM metallopeptidase domain 23,11.95,45.98
BTN2A1,Butyrophilin subfamily 2 member A1,11.95,27.06
SPON1,Spondin 1,11.94,29.62
RPE,Ribulose-5-phosphate-3-epimerase,11.93,10.37
ACOX1,Acyl-CoA oxidase 1,11.91,10.89
ANKRD54,Ankyrin repeat domain 54,11.9,10.38
SCGB3A1,Secretoglobin family 3A member 1,11.85,50.7
FKBP7,FKBP prolyl isomerase 7,11.85,7.55
AIF1L,Allograft inflammatory factor 1 like,11.83,24.07
FAM172A,Family with sequence similarity 172 member A,11.78,3.35
SEMA3G,Semaphorin 3G,11.78,44.6
SEC31A,"SEC31 homolog A, COPII coat complex component",11.77,10.67
TBCA,Tubulin folding cofactor A,11.77,3.69
SERPINH1,Serpin family H member 1,11.75,7.72
PVALB,Parvalbumin,11.74,33.82
PSME2,Proteasome activator subunit 2,11.72,0
CHMP6,Charged multivesicular body protein 6,11.71,7.24
UBXN2A,UBX domain protein 2A,11.7,10.29
CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase",11.67,2.96
PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase,11.67,15.65
NCAPG,Non-SMC condensin I complex subunit G,11.66,7.39
PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase 1,11.66,14.31
MATN2,Matrilin 2,11.64,35.27
LRP11,LDL receptor related protein 11,11.63,47.4
AMBP,Alpha-1-microglobulin/bikunin precursor,11.62,27.54
ASAP2,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2",11.61,4.27
CDON,"Cell adhesion associated, oncogene regulated",11.59,20.48
FAM3C,FAM3 metabolism regulating signaling molecule C,11.57,21.74
FAM135B,Family with sequence similarity 135 member B,11.57,14.75
DUSP19,Dual specificity phosphatase 19,11.54,5.67
BAG5,BAG cochaperone 5,11.54,2.3
MFGE8,Milk fat globule EGF and factor V/VIII domain containing,11.52,17.71
ITGA5,Integrin subunit alpha 5,11.5,30.52
HSDL2,Hydroxysteroid dehydrogenase like 2,11.49,15.94
CBLN2,Cerebellin 2 precursor,11.48,48.3
CD300LG,CD300 molecule like family member g,11.47,29.87
CEACAM19,CEA cell adhesion molecule 19,11.47,33.93
ARHGAP5,Rho GTPase activating protein 5,11.45,17.87
DNAJC17,DnaJ heat shock protein family (Hsp40) member C17,11.4,2.31
PDZD2,PDZ domain containing 2,11.36,7.33
DDX19B,DEAD-box helicase 19B,11.36,9.48
RTBDN,Retbindin,11.34,11.46
TPD52,Tumor protein D52,11.31,20.72
ARFIP1,ADP ribosylation factor interacting protein 1,11.31,4.86
SRPK2,SRSF protein kinase 2,11.29,1.6
NOG,Noggin,11.28,23.93
RNASE10,Ribonuclease A family member 10 (inactive),11.26,59.33
MYBPC1,Myosin binding protein C1,11.25,19.54
STX6,Syntaxin 6,11.23,22.07
SLC13A1,Solute carrier family 13 member 1,11.18,25.44
BPIFB2,BPI fold containing family B member 2,11.16,43.08
PDLIM1,PDZ and LIM domain 1,11.16,1.84
SEPTIN7,Septin 7,11.12,6.01
EHD3,EH domain containing 3,11.09,1.99
PGA4,Pepsinogen A4,11.06,42.49
ENO1,Enolase 1,11.06,8.36
PPM1B,"Protein phosphatase, Mg2+/Mn2+ dependent 1B",11.05,32.22
FKBP14,FKBP prolyl isomerase 14,11.04,2.78
USP28,Ubiquitin specific peptidase 28,11.04,5.6
MCEE,Methylmalonyl-CoA epimerase,11.03,14.91
TFRC,Transferrin receptor,11.01,30.34
THY1,Thy-1 cell surface antigen,11,36.77
ANKZF1,Ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1,11,5.36
NPTN,Neuroplastin,10.99,18.25
RPAP3,RNA polymerase II associated protein 3,10.99,4.39
EPB41L3,Erythrocyte membrane protein band 4.1 like 3,10.96,14.8
LRRC37A2,Leucine rich repeat containing 37 member A2,10.94,59.81
DBI,"Diazepam binding inhibitor, acyl-CoA binding protein",10.94,5.74
OSBPL2,Oxysterol binding protein like 2,10.93,13.46
LRRC4,Leucine rich repeat containing 4,10.92,19.72
SYTL4,Synaptotagmin like 4,10.9,2.7
ANKRD35,Ankyrin repeat domain 35,10.89,17.8
PLA2G1B,Phospholipase A2 group IB,10.89,52.92
KLK15,Kallikrein related peptidase 15,10.86,59.71
TNFAIP6,TNF alpha induced protein 6,10.86,31.38
APPL2,"Adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2",10.84,4.18
NXPH3,Neurexophilin 3,10.83,15.22
ISLR2,Immunoglobulin superfamily containing leucine rich repeat 2,10.8,28.67
FAM13A,Family with sequence similarity 13 member A,10.8,4.3
SYNM,Synemin,10.79,12.17
DSG4,Desmoglein 4,10.75,56.04
COL26A1,Collagen type XXVI alpha 1 chain,10.74,18.23
VPS28,VPS28 subunit of ESCRT-I,10.72,0
LBP,Lipopolysaccharide binding protein,10.7,27.89
GASK1A,Golgi associated kinase 1A,10.69,40.3
POLR2F,"RNA polymerase II, I and III subunit F",10.67,0
FABP1,Fatty acid binding protein 1,10.66,19.69
HSD17B14,Hydroxysteroid 17-beta dehydrogenase 14,10.65,59.75
PRDX6,Peroxiredoxin 6,10.62,4.26
NPL,N-acetylneuraminate pyruvate lyase,10.6,20.82
ANGPT1,Angiopoietin 1,10.59,23.06
AK2,Adenylate kinase 2,10.58,4.16
NTNG2,Netrin G2,10.55,23.74
NTRK1,Neurotrophic receptor tyrosine kinase 1,10.54,14.38
TP53,Tumor protein p53,10.53,8.99
SORCS1,Sortilin related VPS10 domain containing receptor 1,10.49,11.64
NEO1,Neogenin 1,10.48,10.53
ARID1A,AT-rich interaction domain 1A,10.45,1.74
CCAR1,Cell division cycle and apoptosis regulator 1,10.44,7.46
GIGYF1,GRB10 interacting GYF protein 1,10.44,23.58
LIG3,DNA ligase 3,10.42,9.19
TRIP11,Thyroid hormone receptor interactor 11,10.42,1.13
PDIA4,Protein disulfide isomerase family A member 4,10.37,2.1
LGALS9,Galectin 9,10.36,21.64
DTNB,Dystrobrevin beta,10.36,5.66
AMOTL2,Angiomotin like 2,10.35,11.74
SNX5,Sorting nexin 5,10.35,7.3
SEC13,"SEC13 homolog, nuclear pore and COPII coat complex component",10.34,10.01
BAIAP2,BAR/IMD domain containing adaptor protein 2,10.33,13.33
GGCT,Gamma-glutamylcyclotransferase,10.33,4.17
GMPR2,Guanosine monophosphate reductase 2,10.32,5.21
PTPRF,Protein tyrosine phosphatase receptor type F,10.32,28.93
FAM102B,Family with sequence similarity 102 member B,10.3,6.91
LTBR,Lymphotoxin beta receptor,10.29,50.56
VSIG10L,V-set and immunoglobulin domain containing 10 like,10.28,36.56
CASP10,Caspase 10,10.26,21.09
TRMT10C,"TRNA methyltransferase 10C, mitochondrial RNase P subunit",10.24,11.79
IGSF21,Immunoglobin superfamily member 21,10.21,28.49
KATNAL1,Katanin catalytic subunit A1 like 1,10.2,3.2
GLTP,Glycolipid transfer protein,10.15,11.18
MYDGF,Myeloid derived growth factor,10.12,2.88
MINK1,Misshapen like kinase 1,10.11,8.01
DAG1,Dystroglycan 1,10.09,0.6
UPF3B,UPF3B regulator of nonsense mediated mRNA decay,10.07,0.11
CCP110,Centriolar coiled-coil protein 110,10.05,20.34
EHBP1,EH domain binding protein 1,10.05,5.68
PSAP,Prosaposin,10.02,19.8
IL17A,Interleukin 17A,9.97,9.25
STK32C,Serine/threonine kinase 32C,9.97,24.02
FHIT,Fragile histidine triad diadenosine triphosphatase,9.97,2.79
CES1,Carboxylesterase 1,9.96,50.02
STC1,Stanniocalcin 1,9.95,46.86
CSF2,Colony stimulating factor 2,9.94,8.06
MYO5A,Myosin VA,9.94,10.76
HDGF,Heparin binding growth factor,9.88,40.98
STK4,Serine/threonine kinase 4,9.88,2.53
FLYWCH2,FLYWCH family member 2,9.86,10.32
SIT1,Signaling threshold regulating transmembrane adaptor 1,9.86,6.73
MAP2,Microtubule associated protein 2,9.84,13.86
TAFA5,TAFA chemokine like family member 5,9.84,16.33
ENO3,Enolase 3,9.83,1.41
DSG3,Desmoglein 3,9.82,44.02
TTF2,Transcription termination factor 2,9.81,13.49
IFT81,Intraflagellar transport 81,9.8,13.59
CLIP2,CAP-Gly domain containing linker protein 2,9.79,5.65
PLCG1,Phospholipase C gamma 1,9.78,14.84
HSBP1,Heat shock factor binding protein 1,9.76,30.25
CLNS1A,Chloride nucleotide-sensitive channel 1A,9.72,3.39
IRAG2,"Inositol 1,4,5-triphosphate receptor associated 2",9.71,6.86
TP53INP2,Tumor protein p53 inducible nuclear protein 2,9.68,11.54
EIF5,Eukaryotic translation initiation factor 5,9.63,6.36
WDR54,WD repeat domain 54,9.61,4.23
NARS1,Asparaginyl-tRNA synthetase 1,9.61,2.53
ANXA11,Annexin A11,9.61,12.84
BCL2L15,BCL2 like 15,9.61,3.41
ITGA6,Integrin subunit alpha 6,9.58,24.64
CETN2,Centrin 2,9.58,0.13
FGF2,Fibroblast growth factor 2,9.55,20.37
MPP7,MAGUK p55 scaffold protein 7,9.54,0.83
CCDC134,Coiled-coil domain containing 134,9.52,4.97
SLITRK6,SLIT and NTRK like family member 6,9.52,45.35
MAX,MYC associated factor X,9.46,7.53
SUMF2,Sulfatase modifying factor 2,9.44,21.54
HAGH,Hydroxyacylglutathione hydrolase,9.43,0
KIAA1143,KIAA1143,9.41,12.12
AP1G2,Adaptor related protein complex 1 subunit gamma 2,9.38,1.94
NPTX2,Neuronal pentraxin 2,9.36,40.47
DXO,Decapping exoribonuclease,9.36,7.21
PPY,Pancreatic polypeptide,9.32,36.92
LYN,"LYN proto-oncogene, Src family tyrosine kinase",9.32,5.05
PCM1,Pericentriolar material 1,9.31,9.52
GLOD4,Glyoxalase domain containing 4,9.28,0.62
SEMA7A,Semaphorin 7A (John Milton Hagen blood group),9.27,42.56
CDHR5,Cadherin related family member 5,9.26,56.82
TYRO3,TYRO3 protein tyrosine kinase,9.25,55.58
GTPBP2,GTP binding protein 2,9.25,3.88
BAG6,BAG cochaperone 6,9.24,16
IL12B,Interleukin 12B,9.24,13.76
LTB,Lymphotoxin beta,9.23,17.04
EIF2S2,Eukaryotic translation initiation factor 2 subunit beta,9.21,1.02
ANPEP,"Alanyl aminopeptidase, membrane",9.18,40.59
CLSTN2,Calsyntenin 2,9.18,24.96
MUC16,"Mucin 16, cell surface associated",9.17,35.5
CD46,CD46 molecule,9.15,16.9
SCAMP3,Secretory carrier membrane protein 3,9.14,3.5
TNFSF13B,TNF superfamily member 13b,9.12,33.88
CD164,CD164 molecule,9.12,20.91
TST,Thiosulfate sulfurtransferase,9.11,1.76
ACRBP,Acrosin binding protein,9.1,6.96
DBH,Dopamine beta-hydroxylase,9.1,82.36
AGR3,"Anterior gradient 3, protein disulphide isomerase family member",9.09,10.03
NPDC1,"Neural proliferation, differentiation and control 1",9.05,24.74
DYNLT3,Dynein light chain Tctex-type 3,9.04,10.43
CNTN1,Contactin 1,9.04,51.37
GGT5,Gamma-glutamyltransferase 5,9.04,32.81
BCL2L1,BCL2 like 1,9.02,4.97
F11R,F11 receptor,8.98,6.06
TES,Testin LIM domain protein,8.98,0.17
SLURP1,Secreted LY6/PLAUR domain containing 1,8.97,22.24
ABCF2,ATP binding cassette subfamily F member 2,8.96,0
PLXDC2,Plexin domain containing 2,8.94,14.8
FAM114A2,Family with sequence similarity 114 member A2,8.91,0
TOP2B,DNA topoisomerase II beta,8.87,3.95
GH1,Growth hormone 1,8.85,7.91
CEP131,Centrosomal protein 131,8.84,2.86
NUB1,Negative regulator of ubiquitin like proteins 1,8.83,3.76
FST,Follistatin,8.82,2.5
NHLRC3,NHL repeat containing 3,8.82,9
TCN1,Transcobalamin 1,8.77,58.07
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,8.77,27.52
AGT,Angiotensinogen,8.76,27.45
CCSAP,"Centriole, cilia and spindle associated protein",8.76,32.27
RTN4IP1,Reticulon 4 interacting protein 1,8.74,2.1
ZBTB17,Zinc finger and BTB domain containing 17,8.73,10.07
USH1G,USH1 protein network component sans,8.73,0.18
ERBIN,Erbb2 interacting protein,8.73,4.18
LY6D,Lymphocyte antigen 6 family member D,8.67,36.32
DNAJC7,DnaJ heat shock protein family (Hsp40) member C7,8.66,1.86
TP53BP2,Tumor protein p53 binding protein 2,8.63,21.13
COPZ1,COPI coat complex subunit zeta 1,8.6,8.93
CD4,CD4 molecule,8.6,9.69
FAM222B,Family with sequence similarity 222 member B,8.59,12.45
CST1,Cystatin SN,8.55,62.79
FCGR3B,Fc gamma receptor IIIb,8.54,71.17
FCGR3A,Fc gamma receptor IIIa,8.54,71.17
GRP,Gastrin releasing peptide,8.54,12.17
NEDD1,NEDD1 gamma-tubulin ring complex targeting factor,8.53,3.92
CD70,CD70 molecule,8.52,63.46
UMAD1,UBAP1-MVB12-associated (UMA) domain containing 1,8.51,0
TSPAN8,Tetraspanin 8,8.51,48.93
CTHRC1,Collagen triple helix repeat containing 1,8.5,13.76
RALBP1,RalA binding protein 1,8.49,6.93
ADGRE5,Adhesion G protein-coupled receptor E5,8.48,34.52
CFAP36,Cilia and flagella associated protein 36,8.48,5.49
IL22,Interleukin 22,8.47,18.03
CPXM1,"Carboxypeptidase X, M14 family member 1",8.47,22.34
NPHS1,"NPHS1 adhesion molecule, nephrin",8.46,43.64
PRSS8,Serine protease 8,8.43,34.41
VPS53,VPS53 subunit of GARP complex,8.41,1.53
TNIP1,TNFAIP3 interacting protein 1,8.4,5.73
PLA2G2A,Phospholipase A2 group IIA,8.39,40.46
SCRN1,Secernin 1,8.39,19.05
CFHR5,Complement factor H related 5,8.38,39.16
DCTN1,Dynactin subunit 1,8.38,9.66
AHSG,Alpha 2-HS glycoprotein,8.38,41.26
MGLL,Monoglyceride lipase,8.38,4.14
RRM2,Ribonucleotide reductase regulatory subunit M2,8.35,0
ADA2,Adenosine deaminase 2,8.35,48.62
IGFBP7,Insulin like growth factor binding protein 7,8.34,23.74
KANK2,KN motif and ankyrin repeat domains 2,8.33,18.55
C2orf88,Chromosome 2 open reading frame 88,8.32,3.75
IFI30,IFI30 lysosomal thiol reductase,8.32,8.71
GPC5,Glypican 5,8.27,53.87
SUCLA2,Succinate-CoA ligase ADP-forming subunit beta,8.27,10.08
CD163,CD163 molecule,8.24,62.11
RBPMS2,"RNA binding protein, mRNA processing factor 2",8.21,0
CFC1,"Cripto, FRL-1, cryptic family 1",8.19,46.64
IFIT3,Interferon induced protein with tetratricopeptide repeats 3,8.18,12.6
PPFIA2,PTPRF interacting protein alpha 2,8.17,23.36
